ENTREZID	SYMBOL
6772	STAT1
84441	MAML2
3603	IL16
8454	CUL1
256380	SCML4
4938	OAS1
3718	JAK3
3992	FADS1
3431	SP110
22861	NLRP1
283130	SLC25A45
100616387	MIR3064
4063	LY9
6494	SIPA1
92106	OXNAD1
116931	MED12L
728606	PCAT18
219285	SAMD9L
80342	TRAF3IP3
100422885	MIR1244-2
1026	CDKN1A
58155	PTBP2
290	ANPEP
50615	IL21R
283149	BCL9L
5494	PPM1A
10379	IRF9
79626	TNFAIP8L2
10052	GJC1
57700	FHIP2A
126298	IRGQ
79786	KLHL36
60481	ELOVL5
6753	SSTR3
64926	RASAL3
7846	TUBA1A
5934	RBL2
100133234	SBF1P1
11123	RCAN3
4648	MYO7B
8629	JRK
25932	CLIC4
440145	MZT1
9710	GARRE1
6451	SH3BGRL
55601	DDX60
6613	SUMO2
54407	SLC38A2
25874	MPC2
79814	AGMAT
5871	MAP4K2
50810	HDGFL3
283219	KCTD21
148932	MOB3C
1316	KLF6
871	SERPINH1
4599	MX1
126432	RINL
91782	CHMP7
89846	FGD3
6648	SOD2
79931	TNIP3
10793	ZNF273
22900	CARD8
91694	LONRF1
201305	SPNS3
55809	TRERF1
57185	NIPAL3
54847	SIDT1
85315	PAQR8
3430	IFI35
5603	MAPK13
28692	TRAV1-2
51582	AZIN1
8089	YEATS4
51466	EVL
7411	VBP1
23135	KDM6B
6477	SIAH1
7763	ZFAND5
51193	ZNF639
55619	DOCK10
65986	ZBTB10
2739	GLO1
5687	PSMA6
57142	RTN4
7295	TXN
57134	MAN1C1
55303	GIMAP4
9138	ARHGEF1
154075	SAMD3
6856	SYPL1
51339	DACT1
6917	TCEA1
145864	HAPLN3
939	CD27
80207	OPA3
4129	MAOB
401431	ATP6V0E2-AS1
6609	SMPD1
3635	INPP5D
51014	TMED7
2734	GLG1
4939	OAS2
9619	ABCG1
93380	MMGT1
56929	FEM1C
27018	BEX3
28658	TRAV25
6009	RHEB
10950	BTG3
1073	CFL2
8099	CDK2AP1
5277	PIGA
6595	SMARCA2
83636	C19orf12
4628	MYH10
2035	EPB41
9214	FCMR
10728	PTGES3
23174	ZCCHC14
402415	XKRX
2950	GSTP1
6322	SCML1
664709	HNRNPA1P10
51555	PEX5L
27128	CYTH4
51012	PRELID3B
8766	RAB11A
4778	NFE2
28673	TRAV12-2
952	CD38
51444	RNF138
8727	CTNNAL1
25851	TECPR1
201725	C4orf46
7533	YWHAH
5690	PSMB2
283337	ZNF740
51526	OSER1
64718	UNKL
5756	TWF1
10962	MLLT11
60592	SCOC
151888	BTLA
399665	FAM102A
2764	GMFB
51186	TCEAL9
